LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-08-16 12:23:51,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:52,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:52,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:52,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:53,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:53,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:53,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:53,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:54,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-78,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:54,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-79,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:54,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:54,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:54,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:55,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:56,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:56,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:56,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:57,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:57,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:57,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:57,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:58,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:59,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:59,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:23:59,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-74,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:59,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:23:59,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:24:00,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:24:00,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-75,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:24:00,1900-01-00 00:00:00,,66:CB:6F:07:9F:70,-76,,0.000000,0.000000,0.000,0.000,Client
2024-08-16 12:24:00,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:24:00,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-08-16 12:24:00,1900-01-00 00:00:00,EDENHILL,F0:9F:C2:81:92:DF,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
